distanceFront, distanceLeft, distanceRight, torque
1.738194, 1.205231, 0.6891639, 123.275

1.769559, 1.191959, 0.6172944, 126.239

1.769559, 1.191959, 0.6172944, 126.239

1.806569, 1.181929, 0.5521353, 129.0926

1.854687, 1.172114, 0.5941772, 126.4066

1.916272, 1.162629, 0.6762452, 0

1.989217, 1.155143, 0.6565937, 0

1.949216, 1.183959, 0.6277773, 125.2964

1.949216, 1.183959, 0.6277773, 125.2964

1.909217, 1.212776, 0.5989609, 128.2589

1.991888, 1.20483, 0.6158942, 126.9716

1000, 1.197153, 0.7271543, 0

1000, 1.190775, 0.7148948, 0

1000, 1.212192, 0.6934774, 123.4074

1000, 1.212192, 0.6934774, 123.4074

1000, 1.215593, 0.6720595, 124.6555

1000, 1.22788, 0.636568, 127.0939

1000, 1.222713, 0.6052304, 128.4498

1000, 1.217923, 0.5776699, 129.6412

1000, 1.217923, 0.5776699, 129.6412

1000, 1.213727, 0.6490518, 125.7287

1000, 1.210161, 0.7513066, 0

1000, 1.207731, 0.7320003, 0

1000, 1.216967, 0.7227644, 0

1000, 1.21695, 0.7135283, 122.6445

1000, 1.21695, 0.7135283, 122.6445

1000, 1.04372, 0.7042918, 0

1000, 1.069501, 0.6888847, 0

1000, 1.027464, 0.6814337, 0

1000, 1.034914, 0.6739829, 0

1000, 1.042365, 0.6665319, 0

1000, 1.042365, 0.6665319, 0

1000, 1.049816, 0.659081, 0

1000, 1.057267, 0.6516302, 0

1000, 0.9278303, 0.6441792, 0

1000, 0.8585569, 0.6367282, 0

1000, 0.8660078, 0.648433, 0

1000, 0.8660078, 0.648433, 0

1000, 0.8734587, 0.8354385, 0

1000, 0.8809097, 0.8279876, 0

1000, 0.8883603, 0.8205366, 0

1000, 0.7861605, 0.8130856, 0

1000, 0.6896504, 0.8056348, 0

1000, 0.6896504, 0.8056348, 0

1000, 0.6971012, 0.7981838, 0

1000, 0.7045522, 0.7907329, 0

1000, 0.7120031, 0.783282, 0

1000, 0.7194541, 0.775831, 0

1000, 0.7194541, 0.775831, 0

1000, 0.6444907, 0.7683802, 0

1000, 0.5207437, 0.7609293, 0

1000, 0.5281949, 0.7534783, 0

1000, 0.5356456, 0.7460274, 0

1000, 0.5430965, 0.7385765, 0

1000, 0.5430965, 0.7385765, 0

1000, 0.5505471, 0.7311255, 0

1000, 0.5579984, 0.7236747, 0

1000, 0.5654492, 0.7162237, 0

1000, 0.5729002, 0.7087728, 0

1000, 0.5803511, 0.7013218, 0

1000, 0.5803511, 0.7013218, 0

1000, 0.587802, 0.6938709, 0

1000, 0.595253, 0.6864199, 0

1000, 0.6027036, 0.678969, 0

1000, 0.6101549, 0.671518, 0

1000, 0.6176057, 0.6640671, 0

1000, 0.6176057, 0.6640671, 0

1000, 0.625057, 0.6566163, 0

1000, 0.6325076, 0.6491653, 0

1000, 0.6399585, 0.6417145, 0

1000, 0.6474095, 0.6342635, 0

1000, 0.6548604, 0.6268126, 0

1000, 0.6548604, 0.6268126, 0

1000, 0.6623113, 0.6193616, 0

1000, 0.6697623, 0.6119108, 0

1000, 0.6772135, 0.6044598, 0

1000, 0.684664, 0.5970088, 0

1000, 0.6921151, 0.5895579, 0

1000, 0.6921151, 0.5895579, 0

1000, 0.699566, 0.582107, 0

1000, 0.7070169, 0.5746561, 0

1000, 0.7144678, 0.5672051, 0

1000, 0.7219187, 0.5597543, 0

1000, 0.7219187, 0.5597543, 0

1000, 0.7293696, 0.5523033, 0

1000, 0.7368206, 0.5448523, 0

1000, 0.7442715, 0.5374014, 0

1000, 0.7517224, 0.5299505, 0

1000, 0.7591733, 0.5224995, 0

1000, 0.7591733, 0.5224995, 0

1000, 0.7666243, 0.5150486, 0

1000, 0.7740754, 0.5075977, 0

1000, 0.7815261, 0.5001467, 0

1000, 0.7889771, 0.4926958, 0

1000, 0.796428, 0.4852449, 0

1000, 0.796428, 0.4852449, 0

1000, 0.803879, 0.477794, 0

1000, 0.8113299, 0.470343, 0

1000, 0.8187808, 0.4628922, 0

1000, 0.826232, 0.4554412, 0

1000, 0.8336824, 0.4479903, 0

1000, 0.8336824, 0.4479903, 0

1000, 0.8411336, 0.4405394, 0

1000, 0.8485845, 0.4330885, 0

1000, 0.8560354, 0.4256375, 0

1000, 0.8634863, 0.4181865, 0

1000, 0.8709372, 0.4107356, 0

1000, 0.8709372, 0.4107356, 0

1000, 0.8783882, 0.4032847, 0

1000, 0.8858392, 0.3958338, 0

1000, 0.89329, 0.3883829, 122.7184

1000, 0.900741, 0.3809319, 123.4622

1000, 0.900741, 0.3809319, 123.4622

1000, 0.9018307, 0.3708652, 124.0219

1000, 0.9028301, 0.3632841, 124.4541

1000, 0.9037665, 0.3581464, 124.761

1000, 0.9046598, 0.3554262, 124.9439

1000, 0.9055238, 0.5652219, 0

1000, 0.9055238, 0.5652219, 0

1000, 0.9063674, 0.5678226, 0

1000, 0.9033449, 0.5708448, 0

1000, 0.900323, 0.573867, 0

1000, 0.8973008, 0.5768892, 0

1000, 0.8942784, 0.5799114, 0

1000, 0.8942784, 0.5799114, 0

1000, 0.8912564, 0.5829336, 0

1000, 0.8882342, 0.5859559, 0

1000, 0.885212, 0.588978, 0

1000, 0.8821896, 0.5920002, 0

1000, 0.8791676, 0.5950224, 0

1000, 0.8791676, 0.5950224, 0

1000, 0.8761454, 0.5980446, 0

1000, 0.8731232, 0.6010668, 0

1000, 0.870101, 0.604089, 0

1000, 0.8670788, 0.6071113, 0

1000, 0.8640566, 0.6101334, 0

1000, 0.8640566, 0.6101334, 0

1000, 0.8610343, 0.6131556, 0

1000, 0.8580121, 0.6161779, 0

1000, 0.85499, 0.6192001, 0

1000, 0.8519678, 0.6222222, 0

1000, 0.8489456, 0.6252444, 0

1000, 0.8489456, 0.6252444, 0

1000, 0.8459234, 0.6282666, 0

1000, 0.8429014, 0.6312888, 0

1000, 0.839879, 0.634311, 0

1000, 0.8368568, 0.6373332, 0

1000, 0.8368568, 0.6373332, 0

1000, 0.8338348, 0.6403554, 0

1000, 0.8308124, 0.6433776, 0

1000, 0.8277902, 0.6463998, 0

1000, 0.8247682, 0.649422, 0

1000, 0.8217458, 0.6524442, 0

1000, 0.8217458, 0.6524442, 0

1000, 0.8187236, 0.6554664, 0

1000, 0.8157014, 0.6584886, 0

1000, 0.8126792, 0.6615108, 0

1000, 0.809657, 0.664533, 0

1000, 0.8066347, 0.6675552, 0

1000, 0.8066347, 0.6675552, 0

1000, 0.8036125, 0.6705774, 0

1000, 0.8005904, 0.6735996, 0

1000, 0.7975682, 0.6766219, 0

1000, 0.7945459, 0.679644, 0

1000, 0.7915236, 0.6826662, 0

1000, 0.7915236, 0.6826662, 0

1000, 0.7885016, 0.6856884, 0

1000, 0.7854794, 0.6887106, 0

1000, 0.7824569, 0.6917328, 0

1000, 0.779435, 0.694755, 0

1000, 0.7764127, 0.6977772, 0

1000, 0.7764127, 0.6977772, 0

1000, 0.7733904, 0.7007994, 0

1000, 0.7703683, 0.7038216, 0

1000, 0.7673462, 0.7068438, 0

1000, 0.5537254, 0.709866, 0

1000, 0.5507034, 0.7128882, 0

1000, 0.5507034, 0.7128882, 0

1000, 0.547681, 0.7159104, 0

1000, 0.5446588, 0.7189326, 0

